name,age,pos,elc,salary,gp,evo,ppo,evd,shd,pim_dif,goals_attributed,wins_attributed,gaa,waa
"Cole Schwindt",23,F,N,800000,42,2.452000,0.000000,1.0724000,0.00054,5.760000,9.284939999999999,1.5474899999999998,0.47421140676116735,0.07903523446019745
"Nolan Allan",21,D,N,825000,43,2.212000,0.000000,2.7484000,0.00196,-5.440000,-0.47764000000000006,-0.07960666666666667,-9.288368593238832,-1.548061432206469
"Jeff Petry",37,D,N,6250000,44,2.248000,0.180000,4.6164000,0.00226,-2.880000,4.16666,0.6944433333333334,-4.644068593238831,-0.774011432206469
"Jacob Moverare",26,D,N,775000,49,2.420000,0.000000,3.6364000,0.00035999999999999997,-2.760000,3.29676,0.54946,-5.513968593238832,-0.9189947655398024
"Jake Christiansen",25,D,N,775000,68,2.868000,0.000000,3.9920000,0.0008399999999999999,-2.460000,4.4008400000000005,0.7334733333333334,-4.409888593238831,-0.7349814322064689
"Ty Dellandrea",24,F,N,1300000,68,2.520000,0.000000,2.5132000,0.0021400000000000004,-4.720000,0.31533999999999995,0.05255666666666666,-8.495388593238832,-1.4158980988731358
"Hendrix Lapierre",22,F,Y,863334,27,2.048000,0.000000,0.8088000,0,1.840000,4.6968,0.7827999999999999,-4.113928593238832,-0.6856547655398024
"Calvin de Haan",33,D,N,800000,47,2.576000,0.000000,3.7604000,0.0019,-1.520000,4.818300000000001,0.8030500000000002,-3.992428593238831,-0.6654047655398022
"Anthony Mantha",30,F,N,3500000,13,1.700000,0.340000,0.5580000,0.38,-2.460000,0.5179999999999998,0.0863333333333333,-8.29272859323883,-1.382121432206469
"Ethen Frank",26,F,N,775000,24,2.408000,0.180000,1.0004000,0,1.160000,4.7484,0.7914,-4.062328593238831,-0.6770547655398024
"Mikael Pyyhtia",23,F,N,897500,47,2.372000,0.000000,2.2180000,0.38284,-0.760000,4.21284,0.70214,-4.597888593238832,-0.7663147655398024
"Samuel Helenius",22,F,Y,805833,50,2.724000,0.000000,1.0320000,0,-5.940000,-2.1840000000000006,-0.3640000000000001,-10.994728593238833,-1.8324547655398025
"Noah Gregor",26,F,N,850000,52,2.820000,0.000000,1.7656000,0.38164,-1.000000,3.9672400000000003,0.6612066666666667,-4.843488593238831,-0.8072480988731356
