Group_1,Group_2,Total_Absolute_Difference
Luis Miguel (Pop),The Beatles (Pop),21.3334
Backstreet Boys (Pop),Céline Dion (Pop),21.3541
Bee Gees (Pop),Shakira (Pop),21.3553
Billy Joel (Pop),James Arthur (Pop),21.378700000000006
Ellie Goulding (Pop),Jennifer Lopez (Pop),21.390600000000003
Gwen Stefani (Pop),The Chainsmokers (Pop),21.391299999999998
Anu Malik (Pop),Whitney Houston (Pop),21.3962
Britney Spears (Pop),Whitney Houston (Pop),21.42
Black Eyed Peas (Pop),Céline Dion (Pop),21.423399999999997
Bee Gees (Pop),Justin Timberlake (Pop),21.4241
Ariana Grande (Pop),Ellie Goulding (Pop),21.428599999999996
Bob Sinclar (Electro),Martin Garrix (Electro),21.438399999999998
Annie Lennox (Pop),One Direction (Pop),21.4419
Amy Winehouse (Pop),Black Eyed Peas (Pop),21.462399999999995
Céline Dion (Pop),David Guetta (Pop),21.475700000000003
Ariana Grande (Pop),Enrique Iglesias (Pop),21.482
Elton John (Pop),Enrique Iglesias (Pop),21.4997
David Bowie (R&B),John Legend (R&B),21.5043
Annie Lennox (Pop),Avril Lavigne (Pop),21.505899999999997
Billy Joel (Pop),Meghan Trainor (Pop),21.5062
Avril Lavigne (Pop),Luis Miguel (Pop),21.507199999999997
Ariana Grande (Pop),James Arthur (Pop),21.510899999999996
5 Seconds of Summer (Pop),Bee Gees (Pop),21.5125
David Bowie (Pop),Maroon 5 (Pop),21.528100000000002
5 Seconds of Summer (Pop),Maroon 5 (Pop),21.5395
George Michael (Pop),Prince (Pop),21.5457
HUGEL (Electro),Martin Garrix (Electro),21.5555
Red Hot Chili Peppers (Alternative),Rex Orange County (Alternative),21.5577
Bee Gees (Pop),The Chainsmokers (Pop),21.558200000000003
David Guetta (Pop),Foreigner (Pop),21.56
Britney Spears (Pop),James Arthur (Pop),21.5616
Billy Joel (Rock),blink-182 (Rock),21.5761
Bon Jovi (Rock),The Beatles (Rock),21.5904
Daniel Caesar (Alternative),Red Hot Chili Peppers (Alternative),21.615599999999997
5 Seconds of Summer (Pop),Amy Winehouse (Pop),21.623600000000003
Black Eyed Peas (Pop),P!nk (Pop),21.627299999999998
Ellie Goulding (Pop),Maroon 5 (Pop),21.6459
Elton John (Pop),Justin Timberlake (Pop),21.664899999999996
Billy Joel (Pop),David Guetta (Pop),21.696299999999994
Bastille (Alternative),Lana Del Rey (Alternative),21.697100000000002
Amy Winehouse (Pop),P!nk (Pop),21.714300000000005
Céline Dion (Pop),Maroon 5 (Pop),21.7243
Gwen Stefani (Pop),The Beatles (Pop),21.7247
David Guetta (Pop),The Chainsmokers (Pop),21.730199999999996
Maroon 5 (Pop),The Chainsmokers (Pop),21.735
Demi Lovato (Pop),Foreigner (Pop),21.7439
Backstreet Boys (Pop),Elvis Presley (Pop),21.7473
One Direction (Pop),Pink Floyd (Pop),21.773400000000002
James Arthur (Pop),Luis Miguel (Pop),21.777000000000005
David Guetta (Dance),Jennifer Lopez (Dance),21.786199999999997
5 Seconds of Summer (Pop),Metallica (Pop),21.800199999999997
Shashwat Sachdev (Films/Games),Sonu Nigam (Films/Games),21.805700000000005
Billy Joel (Rock),Tears For Fears (Rock),21.8168
Daniel Caesar (Alternative),The Neighbourhood (Alternative),21.8328
Elvis Presley (Pop),Maroon 5 (Pop),21.8341
Amy Winehouse (Pop),Annie Lennox (Pop),21.837
Anu Malik (Pop),Christina Aguilera (Pop),21.8386
A.R. Rahman (R&B),Tinashe (R&B),21.8392
Metallica (Pop),Wisin & Yandel (Pop),21.839700000000004
Justin Timberlake (Pop),The Chainsmokers (Pop),21.852700000000002
Fleetwood Mac (Rock),Foreigner (Rock),21.8677
P!nk (Pop),Prince (Pop),21.874799999999997
Black Eyed Peas (Pop),Labrinth (Pop),21.8774
Annie Lennox (Pop),Black Eyed Peas (Pop),21.8824
5 Seconds of Summer (Pop),Gorillaz (Pop),21.9102
Black Eyed Peas (Pop),Gorillaz (Pop),21.9106
Enrique Iglesias (Pop),Justin Timberlake (Pop),21.936
Bruce Springsteen (Rock),Creedence Clearwater Revival (Rock),21.9444
Britney Spears (Pop),George Michael (Pop),21.950699999999998
Enrique Iglesias (Pop),Gwen Stefani (Pop),21.951999999999998
Black Eyed Peas (Pop),Ellie Goulding (Pop),21.9542
Avril Lavigne (Pop),George Michael (Pop),21.988500000000002
James Arthur (Pop),Maroon 5 (Pop),21.988999999999997
Bon Jovi (Rock),Evanescence (Rock),21.9909
Foreigner (Pop),Shakira (Pop),22.0311
David Bowie (Pop),Lynyrd Skynyrd (Pop),22.0347
Enrique Iglesias (Pop),Mariah Carey (Pop),22.0379
Pink Floyd (Pop),The Chainsmokers (Pop),22.054800000000004
Gwen Stefani (Pop),Jennifer Lopez (Pop),22.083199999999998
Bee Gees (Pop),Ellie Goulding (Pop),22.0933
Fall Out Boy (Alternative),Rex Orange County (Alternative),22.1066
Foster The People (Alternative),The Strokes (Alternative),22.106900000000003
Dr. Dre (Rap/Hip Hop),WizTheMc (Rap/Hip Hop),22.108
Luis Miguel (Pop),Nelly Furtado (Pop),22.112699999999997
Backstreet Boys (Pop),Eagles (Pop),22.1287
DJ Khaled (Rap/Hip Hop),Nicky Jam (Rap/Hip Hop),22.1357
David Guetta (Pop),Prince (Pop),22.137999999999998
Bruce Springsteen (Rock),Elton John (Rock),22.137999999999998
David Bowie (Pop),Diljit Dosanjh (Pop),22.158900000000006
The Strokes (Alternative),beabadoobee (Alternative),22.1603
Metallica (Pop),Nelly Furtado (Pop),22.162399999999998
Billy Joel (Rock),Scorpions (Rock),22.179299999999998
Evanescence (Rock),Foreigner (Rock),22.183600000000002
Black Eyed Peas (Pop),Diljit Dosanjh (Pop),22.186100000000003
DJ Khaled (Rap/Hip Hop),Flo Rida (Rap/Hip Hop),22.1871
Black Eyed Peas (Pop),The Chainsmokers (Pop),22.2253
John Legend (R&B),USHER (R&B),22.231399999999994
Bruce Springsteen (Rock),The Beatles (Rock),22.2587
Aerosmith (Rock),Evanescence (Rock),22.279600000000002
Guns N' Roses (Rock),The Cranberries (Rock),22.283199999999997
Foreigner (Pop),One Direction (Pop),22.293
A.R. Rahman (Films/Games),Anu Malik (Films/Games),22.2939
Enrique Iglesias (Pop),Foreigner (Pop),22.3015
Nelly Furtado (Pop),The Chainsmokers (Pop),22.303900000000002
David Bowie (Pop),Luis Miguel (Pop),22.3221
Ariana Grande (Pop),One Direction (Pop),22.324699999999993
Demi Lovato (Pop),Shawn Mendes (Pop),22.335900000000006
P!nk (Pop),The Beatles (Pop),22.3474
Hozier (Alternative),Rex Orange County (Alternative),22.352299999999996
Gwen Stefani (Pop),Maroon 5 (Pop),22.3537
Ariana Grande (Pop),Demi Lovato (Pop),22.361
Christina Aguilera (Pop),Gwen Stefani (Pop),22.3717
Daniel Caesar (Alternative),Mac DeMarco (Alternative),22.4145
David Bowie (Pop),Shawn Mendes (Pop),22.4177
Guns N' Roses (Rock),Pink Floyd (Rock),22.469199999999997
James Arthur (Pop),Lady Gaga (Pop),22.4829
Flo Rida (Dance),Jennifer Lopez (Dance),22.495799999999996
One Direction (Pop),Prince (Pop),22.510200000000005
Ariana Grande (Pop),Gorillaz (Pop),22.519199999999998
Fall Out Boy (Alternative),Gorillaz (Alternative),22.5197
Foreigner (Pop),George Michael (Pop),22.5371
Black Eyed Peas (Pop),One Direction (Pop),22.571700000000003
Shankar Mahadevan (Indian Music),Yo Yo Honey Singh (Indian Music),22.5832
Flo Rida (Rap/Hip Hop),Nicky Jam (Rap/Hip Hop),22.604599999999998
Backstreet Boys (Pop),Maroon 5 (Pop),22.6112
Diljit Dosanjh (Pop),Wisin & Yandel (Pop),22.6284
Foreigner (Pop),Gorillaz (Pop),22.633499999999998
P!nk (Pop),Wisin & Yandel (Pop),22.644999999999996
Ellie Goulding (Pop),Elton John (Pop),22.648699999999998
5 Seconds of Summer (Pop),Shakira (Pop),22.6582
Luis Miguel (Pop),Pink Floyd (Pop),22.6648
Bruce Springsteen (Rock),Red Hot Chili Peppers (Rock),22.670699999999997
Céline Dion (Pop),Ellie Goulding (Pop),22.682
Evanescence (Rock),Lynyrd Skynyrd (Rock),22.6972
Julión Álvarez y su Norteño Banda (Traditional Mexicano),Peso Pluma (Traditional Mexicano),22.706000000000003
Foreigner (Rock),Tears For Fears (Rock),22.7412
Britney Spears (Pop),Metallica (Pop),22.7439
Shankar-Ehsaan-Loy (Films/Games),Vishal-Shekhar (Films/Games),22.7476
Bee Gees (Pop),James Arthur (Pop),22.764
Amy Winehouse (Pop),Luis Miguel (Pop),22.7723
Bizarrap (Rap/Hip Hop),WizTheMc (Rap/Hip Hop),22.7896
Mac DeMarco (Alternative),The Strokes (Alternative),22.7946
Shashwat Sachdev (Films/Games),Vishal-Shekhar (Films/Games),22.799300000000002
Gorillaz (Pop),The Beatles (Pop),22.8185
Diljit Dosanjh (Pop),Maroon 5 (Pop),22.822200000000002
Bruce Springsteen (Rock),Guns N' Roses (Rock),22.833199999999998
Ellie Goulding (Pop),James Arthur (Pop),22.8367
James Arthur (Pop),Metallica (Pop),22.8401
Bastille (Alternative),Nirvana (Alternative),22.8405
Enrique Iglesias (Pop),Lady Gaga (Pop),22.8442
Avril Lavigne (Pop),Ellie Goulding (Pop),22.8557
Bon Jovi (Rock),Red Hot Chili Peppers (Rock),22.864199999999997
Céline Dion (Pop),Diljit Dosanjh (Pop),22.8647
Britney Spears (Pop),P!nk (Pop),22.867600000000003
Diljit Dosanjh (Pop),Eagles (Pop),22.8687
David Guetta (Pop),Enrique Iglesias (Pop),22.871700000000004
Amy Winehouse (Pop),Whitney Houston (Pop),22.8755
5 Seconds of Summer (Pop),Nelly Furtado (Pop),22.878600000000002
A.R. Rahman (Films/Games),Vishal-Shekhar (Films/Games),22.8791
5 Seconds of Summer (Pop),James Arthur (Pop),22.884099999999997
Central Cee (Rap/Hip Hop),Maluma (Rap/Hip Hop),22.891799999999996
Jennifer Lopez (Dance),Whitney Houston (Dance),22.892000000000003
Ellie Goulding (Pop),Whitney Houston (Pop),22.8985
Gorillaz (Pop),The Chainsmokers (Pop),22.909899999999997
David Guetta (Pop),The Beatles (Pop),22.911799999999996
Guns N' Roses (Rock),Lynyrd Skynyrd (Rock),22.9322
Céline Dion (Pop),Foreigner (Pop),22.9327
Creedence Clearwater Revival (Rock),The Cranberries (Rock),22.951800000000002
Cardi B (Rap/Hip Hop),"Tyler, The Creator (Rap/Hip Hop)",22.9738
Amy Winehouse (R&B),USHER (R&B),22.9759
Christina Aguilera (Pop),George Michael (Pop),22.9775
Céline Dion (Pop),Whitney Houston (Pop),22.980099999999997
Billy Joel (Pop),Diljit Dosanjh (Pop),22.9803
Guns N' Roses (Rock),Tears For Fears (Rock),22.994600000000005
Britney Spears (Pop),The Chainsmokers (Pop),23.008599999999998
Demi Lovato (Pop),Maroon 5 (Pop),23.0159
Avril Lavigne (Pop),Prince (Pop),23.0252
Elton John (Pop),George Michael (Pop),23.028100000000002
Labrinth (Films/Games),Vishal-Shekhar (Films/Games),23.042499999999997
Labrinth (Pop),Romeo Santos (Pop),23.0639
Foster The People (Alternative),Lana Del Rey (Alternative),23.0714
Bruce Springsteen (Rock),blink-182 (Rock),23.0721
Billy Joel (Pop),P!nk (Pop),23.097299999999997
Foreigner (Pop),Gwen Stefani (Pop),23.1021
Elvis Presley (Rock),Guns N' Roses (Rock),23.113999999999997
Annie Lennox (Pop),Elvis Presley (Pop),23.114599999999996
50 Cent (Rap/Hip Hop),Dr. Dre (Rap/Hip Hop),23.163900000000005
Shankar-Ehsaan-Loy (Films/Games),Zion & Lennox (Films/Games),23.166899999999995
Foreigner (Pop),Meghan Trainor (Pop),23.1719
Britney Spears (Pop),Romeo Santos (Pop),23.1864
Black Eyed Peas (Pop),Gwen Stefani (Pop),23.188599999999997
Foster The People (Alternative),Hozier (Alternative),23.190800000000003
Anu Malik (Pop),George Michael (Pop),23.2027
Bastille (Alternative),Panic! At The Disco (Alternative),23.210600000000003
Anu Malik (Pop),Meghan Trainor (Pop),23.2117
Anu Malik (Pop),One Direction (Pop),23.2216
Elton John (Rock),Pink Floyd (Rock),23.276200000000003
Christina Aguilera (Dance),Martin Garrix (Dance),23.2792
Maroon 5 (Pop),Romeo Santos (Pop),23.2934
Eagles (Pop),The Chainsmokers (Pop),23.323099999999993
Elton John (Rock),Tears For Fears (Rock),23.333999999999996
Britney Spears (Pop),Labrinth (Pop),23.337500000000002
Labrinth (Pop),P!nk (Pop),23.3461
Shawn Mendes (Pop),Whitney Houston (Pop),23.365999999999996
Major Lazer (Electro),Martin Garrix (Electro),23.414499999999997
Elton John (Pop),Gwen Stefani (Pop),23.471100000000003
Fuerza Regida (Traditional Mexicano),Natanael Cano (Traditional Mexicano),23.4802
DJ Khaled (Rap/Hip Hop),Yung Beef (Rap/Hip Hop),23.503199999999996
Justin Timberlake (Pop),Wisin & Yandel (Pop),23.509900000000002
Central Cee (Rap/Hip Hop),Dr. Dre (Rap/Hip Hop),23.521199999999997
Avril Lavigne (Pop),The Beatles (Pop),23.546
Ellie Goulding (Pop),Meghan Trainor (Pop),23.5566
Diljit Dosanjh (Pop),Elton John (Pop),23.5594
Julión Álvarez y su Norteño Banda (Traditional Mexicano),Natanael Cano (Traditional Mexicano),23.5703
One Direction (Pop),The Chainsmokers (Pop),23.6176
Prince (Pop),The Chainsmokers (Pop),23.6184
Nicky Jam (Rap/Hip Hop),Yung Beef (Rap/Hip Hop),23.6191
Mariah Carey (Pop),One Direction (Pop),23.61939999999999
Anu Malik (Films/Games),Zion & Lennox (Films/Games),23.6297
Amy Winehouse (Pop),Avril Lavigne (Pop),23.6445
David Bowie (Dance),Mariah Carey (Dance),23.706699999999998
Amy Winehouse (Pop),George Michael (Pop),23.709400000000002
Bob Sinclar (Dance),Christina Aguilera (Dance),23.714499999999997
Jennifer Lopez (Pop),The Chainsmokers (Pop),23.7267
Eagles (Pop),George Michael (Pop),23.735400000000002
James Arthur (Pop),P!nk (Pop),23.7904
Central Cee (Rap/Hip Hop),Flo Rida (Rap/Hip Hop),23.7998
Red Hot Chili Peppers (Alternative),The Strokes (Alternative),23.804299999999998
David Bowie (Rock),Evanescence (Rock),23.8072
Eagles (Pop),Whitney Houston (Pop),23.808900000000005
Shakira (Pop),The Beatles (Pop),23.8149
Céline Dion (Pop),Justin Timberlake (Pop),23.827400000000004
Fuerza Regida (Latin Music),Neton Vega (Latin Music),23.853300000000004
Ariana Grande (Pop),Bee Gees (Pop),23.8557
Eagles (Pop),Metallica (Pop),23.867000000000004
Bob Sinclar (Dance),Martin Garrix (Dance),23.8791
Christina Aguilera (Dance),David Bowie (Dance),23.9082
Bee Gees (Pop),Mariah Carey (Pop),23.947
Atif Aslam (Pop),Demi Lovato (Pop),23.9512
Anu Malik (Pop),Justin Timberlake (Pop),23.9539
Luis Miguel (Pop),Wisin & Yandel (Pop),23.954800000000002
Eagles (Pop),Romeo Santos (Pop),23.9571
Backstreet Boys (Pop),Ellie Goulding (Pop),23.9589
Billy Joel (Rock),Guns N' Roses (Rock),23.9618
Maroon 5 (Pop),Meghan Trainor (Pop),23.979099999999995
Jennifer Lopez (Pop),One Direction (Pop),23.9891
Luis Miguel (Pop),Prince (Pop),23.994
Nirvana (Alternative),The Neighbourhood (Alternative),23.9952
Jennifer Lopez (Pop),Meghan Trainor (Pop),24.001800000000003
Black Eyed Peas (Pop),Romeo Santos (Pop),24.004700000000003
Céline Dion (Pop),Meghan Trainor (Pop),24.007400000000004
Vishal-Shekhar (Films/Games),Zion & Lennox (Films/Games),24.008300000000002
Demi Lovato (Pop),The Chainsmokers (Pop),24.010899999999996
Foster The People (Alternative),Paramore (Alternative),24.013
Bee Gees (Pop),Gorillaz (Pop),24.036500000000004
Amy Winehouse (Pop),James Arthur (Pop),24.0575
Gwen Stefani (Pop),James Arthur (Pop),24.0709
Avril Lavigne (Pop),Lady Gaga (Pop),24.072499999999998
Backstreet Boys (Pop),Diljit Dosanjh (Pop),24.0816
Ellie Goulding (Pop),P!nk (Pop),24.0859
Dr. Dre (Rap/Hip Hop),Yung Beef (Rap/Hip Hop),24.093299999999996
Romeo Santos (Pop),Wisin & Yandel (Pop),24.101799999999997
Diljit Dosanjh (Pop),Enrique Iglesias (Pop),24.1365
Labrinth (Pop),Prince (Pop),24.1633
Anu Malik (Pop),P!nk (Pop),24.166399999999996
Ariana Grande (Pop),Shakira (Pop),24.1828
Pink Floyd (Rock),The Beatles (Rock),24.1993
Billy Joel (Rock),Red Hot Chili Peppers (Rock),24.2137
Eagles (Pop),P!nk (Pop),24.220299999999998
Gwen Stefani (Pop),Meghan Trainor (Pop),24.222599999999996
Bruce Springsteen (Rock),System Of A Down (Rock),24.228700000000003
Elvis Presley (Pop),Whitney Houston (Pop),24.2305
Annie Lennox (Pop),Wisin & Yandel (Pop),24.237499999999997
Labrinth (Pop),Meghan Trainor (Pop),24.242
Demi Lovato (Pop),Mariah Carey (Pop),24.2501
Jennifer Lopez (Dance),Martin Garrix (Dance),24.2675
Annie Lennox (Pop),Bee Gees (Pop),24.2701
Metallica (Rock),Tears For Fears (Rock),24.2712
Paramore (Alternative),Rex Orange County (Alternative),24.2819
Elvis Presley (Pop),Meghan Trainor (Pop),24.285800000000002
Labrinth (Pop),The Beatles (Pop),24.3001
Flo Rida (Dance),Martin Garrix (Dance),24.3019
JHAYCO (Rap/Hip Hop),WizTheMc (Rap/Hip Hop),24.3101
Eagles (Pop),Justin Timberlake (Pop),24.313999999999997
Ellie Goulding (Pop),Romeo Santos (Pop),24.314500000000002
Evanescence (Rock),Scorpions (Rock),24.3213
Elvis Presley (Pop),Shawn Mendes (Pop),24.327699999999997
Bee Gees (Pop),Luis Miguel (Pop),24.328400000000002
Ellie Goulding (Pop),Labrinth (Pop),24.331199999999995
Red Hot Chili Peppers (Alternative),The Neighbourhood (Alternative),24.353800000000003
Gorillaz (Pop),Maroon 5 (Pop),24.3559
Anu Malik (Pop),The Chainsmokers (Pop),24.3564
Elvis Presley (Pop),One Direction (Pop),24.364499999999996
Backstreet Boys (Pop),Shakira (Pop),24.3695
Daryl Hall & John Oates (Ranchera),Elvis Presley (Ranchera),24.3709
Lady Gaga (Pop),Maroon 5 (Pop),24.4113
Amy Winehouse (R&B),Bryson Tiller (R&B),24.417099999999998
David Bowie (Kids),Shankar Mahadevan (Kids),24.431400000000004
Jennifer Lopez (Pop),Romeo Santos (Pop),24.454500000000003
Mac DeMarco (Alternative),Red Hot Chili Peppers (Alternative),24.4717
David Bowie (Pop),P!nk (Pop),24.478299999999997
Backstreet Boys (Pop),Enrique Iglesias (Pop),24.4925
Fall Out Boy (Alternative),Lana Del Rey (Alternative),24.506099999999996
Justin Timberlake (Pop),Meghan Trainor (Pop),24.5108
Lynyrd Skynyrd (Rock),System Of A Down (Rock),24.5165
Creedence Clearwater Revival (Rock),Elton John (Rock),24.5214
One Direction (Pop),The Beatles (Pop),24.5316
Bee Gees (Pop),Lady Gaga (Pop),24.542899999999996
P!nk (Pop),Pink Floyd (Pop),24.547800000000002
James Arthur (Pop),Mariah Carey (Pop),24.5522
David Bowie (Pop),David Guetta (Pop),24.561700000000002
Metallica (Pop),Shakira (Pop),24.576999999999998
Annie Lennox (Pop),David Bowie (Pop),24.587399999999995
Avril Lavigne (Pop),One Direction (Pop),24.590000000000003
Annie Lennox (Pop),James Arthur (Pop),24.596700000000002
Bob Sinclar (Dance),The Chainsmokers (Dance),24.6022
Bee Gees (Pop),Maroon 5 (Pop),24.6216
Annie Lennox (Pop),Céline Dion (Pop),24.6222
Bizarrap (Rap/Hip Hop),Yung Beef (Rap/Hip Hop),24.6279
Amy Winehouse (Pop),Shakira (Pop),24.630000000000003
George Michael (Pop),Wisin & Yandel (Pop),24.634099999999997
Eagles (Pop),Meghan Trainor (Pop),24.643400000000003
Whitney Houston (Pop),Wisin & Yandel (Pop),24.6628
Jennifer Lopez (Dance),The Chainsmokers (Dance),24.673
James Arthur (Pop),Shawn Mendes (Pop),24.6862
Luis Miguel (Pop),Whitney Houston (Pop),24.700199999999995
Enrique Iglesias (Pop),One Direction (Pop),24.718300000000003
Banda MS de Sergio Lizárraga (Traditional Mexicano),Julión Álvarez y su Norteño Banda (Traditional Mexicano),24.7238
Elton John (Pop),P!nk (Pop),24.732599999999998
Amy Winehouse (Pop),The Chainsmokers (Pop),24.747100000000003
Billy Joel (Rock),Elton John (Rock),24.749
Luis Miguel (Pop),Lynyrd Skynyrd (Pop),24.753
The Beatles (Pop),The Chainsmokers (Pop),24.761199999999995
Demi Lovato (Pop),Luis Miguel (Pop),24.7733
Nirvana (Alternative),Red Hot Chili Peppers (Alternative),24.781000000000002
Foreigner (Pop),Romeo Santos (Pop),24.799
Diljit Dosanjh (Pop),Foreigner (Pop),24.8094
David Bowie (Pop),Gwen Stefani (Pop),24.8116
Ellie Goulding (Pop),Justin Timberlake (Pop),24.8226
Shakira (Pop),The Chainsmokers (Pop),24.8531
Avril Lavigne (Pop),Gwen Stefani (Pop),24.8593
Gwen Stefani (Pop),Whitney Houston (Pop),24.8693
David Bowie (Pop),One Direction (Pop),24.884700000000002
Annie Lennox (Pop),Billy Joel (Pop),24.904999999999998
Lynyrd Skynyrd (Pop),Pink Floyd (Pop),24.915000000000003
Annie Lennox (Pop),The Beatles (Pop),24.9161
Fall Out Boy (Alternative),Foster The People (Alternative),24.923099999999998
Ellie Goulding (Pop),Shawn Mendes (Pop),24.937099999999997
De La Soul (Rap/Hip Hop),Nicky Jam (Rap/Hip Hop),24.985499999999995
Pink Floyd (Rock),Red Hot Chili Peppers (Rock),25.0015
Black Eyed Peas (Pop),Demi Lovato (Pop),25.0048
Elvis Presley (Pop),Justin Timberlake (Pop),25.0126
Pink Floyd (Pop),Shawn Mendes (Pop),25.013
Amy Winehouse (Pop),Meghan Trainor (Pop),25.0162
Justin Timberlake (Pop),Lady Gaga (Pop),25.026000000000003
Jennifer Lopez (Pop),Labrinth (Pop),25.0534
Elvis Presley (Rock),Evanescence (Rock),25.070800000000002
Martin Garrix (Dance),Whitney Houston (Dance),25.0763
Foreigner (Pop),Gracie Abrams (Pop),25.082099999999993
Fleetwood Mac (Rock),The Beatles (Rock),25.083399999999997
Himesh Reshammiya (Indian Music),Shankar Mahadevan (Indian Music),25.089199999999998
One Direction (Pop),Romeo Santos (Pop),25.129799999999996
Panic! At The Disco (Alternative),beabadoobee (Alternative),25.135700000000003
Avril Lavigne (Pop),James Arthur (Pop),25.1454
Enrique Iglesias (Pop),The Chainsmokers (Pop),25.1489
Mac DeMarco (Alternative),Nirvana (Alternative),25.1581
Diljit Dosanjh (Pop),Elvis Presley (Pop),25.1657
Lady Gaga (Pop),P!nk (Pop),25.166900000000005
Lynyrd Skynyrd (Pop),Wisin & Yandel (Pop),25.182
Eagles (Rock),The Beatles (Rock),25.184700000000003
Paramore (Alternative),The Neighbourhood (Alternative),25.234
Annie Lennox (Pop),Labrinth (Pop),25.2364
Lana Del Rey (Alternative),Red Hot Chili Peppers (Alternative),25.238599999999998
Elton John (Rock),Evanescence (Rock),25.2432
Pink Floyd (Pop),Romeo Santos (Pop),25.262600000000006
The Chainsmokers (Pop),Wisin & Yandel (Pop),25.2792
David Guetta (Pop),Gwen Stefani (Pop),25.2965
Anu Malik (Pop),Shakira (Pop),25.317499999999995
Billy Joel (Rock),The Beatles (Rock),25.3181
David Bowie (Pop),Whitney Houston (Pop),25.3287
Kings of Leon (Alternative),Rex Orange County (Alternative),25.335800000000006
Prince (Pop),Shakira (Pop),25.351899999999997
Clean Bandit (Electro),HUGEL (Electro),25.356599999999997
Evanescence (Rock),The Rolling Stones (Rock),25.3969
One Direction (Pop),P!nk (Pop),25.398
Annie Lennox (Pop),Christina Aguilera (Pop),25.4201
Eagles (Pop),Lynyrd Skynyrd (Pop),25.4255
David Guetta (Pop),Elton John (Pop),25.4478
Black Eyed Peas (Pop),Shakira (Pop),25.4582
Avril Lavigne (Pop),Whitney Houston (Pop),25.4754
50 Cent (Rap/Hip Hop),Bizarrap (Rap/Hip Hop),25.479899999999997
Annie Lennox (Pop),Backstreet Boys (Pop),25.4799
Demi Lovato (Pop),P!nk (Pop),25.4843
Dr. Dre (Rap/Hip Hop),Mac Miller (Rap/Hip Hop),25.485799999999998
Lynyrd Skynyrd (Pop),Nelly Furtado (Pop),25.491899999999998
Maroon 5 (Pop),One Direction (Pop),25.500600000000002
Diljit Dosanjh (Pop),Lady Gaga (Pop),25.5197
David Bowie (Pop),Meghan Trainor (Pop),25.5506
Fleetwood Mac (Rock),Red Hot Chili Peppers (Rock),25.583599999999997
Gorillaz (Pop),Mariah Carey (Pop),25.584699999999998
Anu Malik (Films/Games),Shashwat Sachdev (Films/Games),25.598699999999997
Creedence Clearwater Revival (Rock),Red Hot Chili Peppers (Rock),25.6081
Elton John (Pop),Shakira (Pop),25.633100000000002
The Strokes (Alternative),Tom Odell (Alternative),25.6593
Labrinth (Pop),Nelly Furtado (Pop),25.6618
Creedence Clearwater Revival (Rock),Eagles (Rock),25.684800000000003
Billy Joel (Pop),Whitney Houston (Pop),25.7047
JHAYCO (Rap/Hip Hop),Mac Miller (Rap/Hip Hop),25.7105
Justin Timberlake (Pop),One Direction (Pop),25.714499999999997
Maroon 5 (Pop),Metallica (Pop),25.718900000000005
David Guetta (Pop),Wisin & Yandel (Pop),25.7456
Ariana Grande (Pop),George Michael (Pop),25.777200000000004
Meghan Trainor (Pop),The Beatles (Pop),25.784499999999998
Anu Malik (Pop),Diljit Dosanjh (Pop),25.785600000000002
Gwen Stefani (Pop),P!nk (Pop),25.790899999999997
Atif Aslam (Pop),David Guetta (Pop),25.7909
Gorillaz (Pop),Prince (Pop),25.806700000000003
DJ Khaled (Rap/Hip Hop),"Tyler, The Creator (Rap/Hip Hop)",25.8346
Lana Del Rey (Alternative),Rex Orange County (Alternative),25.8477
Bastille (Alternative),Fall Out Boy (Alternative),25.8526
Avril Lavigne (Pop),Bee Gees (Pop),25.8692
Britney Spears (Pop),Gorillaz (Pop),25.8761
David Guetta (Pop),Eagles (Pop),25.8901
Demi Lovato (Pop),Justin Timberlake (Pop),25.9152
Justin Timberlake (Pop),Labrinth (Pop),25.916199999999996
Black Eyed Peas (Pop),Metallica (Pop),25.920199999999998
Ariana Grande (Pop),Avril Lavigne (Pop),25.931099999999997
Diljit Dosanjh (Pop),Ellie Goulding (Pop),25.931699999999996
Backstreet Boys (Pop),David Bowie (Pop),25.945299999999996
Luis Miguel (Pop),Mariah Carey (Pop),25.945600000000002
Demi Lovato (Pop),Labrinth (Pop),25.946199999999997
Black Eyed Peas (Pop),George Michael (Pop),25.951
P!nk (Pop),Shakira (Pop),25.951700000000002
Daniel Caesar (Alternative),beabadoobee (Alternative),25.975599999999993
James Arthur (Pop),Whitney Houston (Pop),26.0094
Foreigner (Pop),Metallica (Pop),26.014899999999997
David Bowie (Pop),Justin Timberlake (Pop),26.017200000000003
Britney Spears (Pop),Luis Miguel (Pop),26.0256
Daniel Caesar (Alternative),Paramore (Alternative),26.035399999999996
George Michael (Pop),Lady Gaga (Pop),26.0504
Billy Joel (Pop),Romeo Santos (Pop),26.053900000000002
Elvis Presley (Pop),Lynyrd Skynyrd (Pop),26.055500000000002
Bee Gees (Pop),Whitney Houston (Pop),26.059199999999997
Anu Malik (Films/Games),Shankar-Ehsaan-Loy (Films/Games),26.067399999999996
Martin Garrix (Dance),Tiësto (Dance),26.0776
Nicky Jam (Rap/Hip Hop),Wiz Khalifa (Rap/Hip Hop),26.0803
George Michael (Pop),Lynyrd Skynyrd (Pop),26.0833
Anu Malik (Pop),Gorillaz (Pop),26.115499999999997
Jennifer Lopez (Dance),Mariah Carey (Dance),26.121800000000004
