Group_1,Group_2,Total_Absolute_Difference
Bon Jovi (Rock),Elvis Presley (Rock),14.8341
Bryan Adams (Rock),Tears For Fears (Rock),14.842000000000002
Bastille (Alternative),beabadoobee (Alternative),14.849300000000003
Ariana Grande (Pop),Britney Spears (Pop),14.8575
Meghan Trainor (Pop),The Chainsmokers (Pop),14.894899999999998
Lady Gaga (Pop),One Direction (Pop),14.9139
Nelly Furtado (Pop),The Beatles (Pop),14.9147
Billy Joel (Rock),The Cranberries (Rock),14.937000000000001
Jennifer Lopez (Pop),Nelly Furtado (Pop),14.979000000000001
Céline Dion (Pop),James Arthur (Pop),14.9821
Backstreet Boys (Pop),Justin Timberlake (Pop),14.998099999999997
Bob Sinclar (Dance),Tiësto (Dance),14.9987
Ariana Grande (Pop),Justin Timberlake (Pop),15.015800000000002
Christina Aguilera (Pop),Jennifer Lopez (Pop),15.021099999999997
James Arthur (Pop),The Beatles (Pop),15.058399999999999
David Bowie (Rock),Pink Floyd (Rock),15.0774
Christina Aguilera (Pop),P!nk (Pop),15.082999999999998
Céline Dion (Pop),Wisin & Yandel (Pop),15.087099999999998
Ellie Goulding (Pop),Lady Gaga (Pop),15.09
Black Eyed Peas (Pop),Pink Floyd (Pop),15.091499999999998
Britney Spears (Pop),Christina Aguilera (Pop),15.122200000000001
Foreigner (Rock),blink-182 (Rock),15.1321
Amy Winehouse (Pop),Jennifer Lopez (Pop),15.148999999999997
Amy Winehouse (Pop),Pink Floyd (Pop),15.1555
Daniel Caesar (Alternative),Kings of Leon (Alternative),15.1633
Bruce Springsteen (Rock),The Rolling Stones (Rock),15.192699999999999
Elton John (Rock),Nirvana (Rock),15.192800000000002
5 Seconds of Summer (Pop),David Bowie (Pop),15.2002
Bryan Adams (Rock),Elton John (Rock),15.2334
Eagles (Pop),Enrique Iglesias (Pop),15.2578
Rex Orange County (Alternative),beabadoobee (Alternative),15.2579
Céline Dion (Pop),Jennifer Lopez (Pop),15.2712
Creedence Clearwater Revival (Rock),David Bowie (Rock),15.2724
Guns N' Roses (Rock),Scorpions (Rock),15.275699999999999
Bob Sinclar (Dance),Flo Rida (Dance),15.2774
Black Eyed Peas (Pop),Prince (Pop),15.318899999999998
Gorillaz (Pop),Justin Timberlake (Pop),15.323599999999999
50 Cent (Rap/Hip Hop),Nicky Jam (Rap/Hip Hop),15.335300000000002
De La Soul (Rap/Hip Hop),Yung Beef (Rap/Hip Hop),15.3754
Bryan Adams (Rock),The Beatles (Rock),15.3773
David Bowie (Rock),Tears For Fears (Rock),15.392000000000001
Britney Spears (Pop),Maroon 5 (Pop),15.408199999999999
Aerosmith (Rock),Elvis Presley (Rock),15.410400000000003
Amy Winehouse (Pop),Lady Gaga (Pop),15.4702
Annie Lennox (Pop),Whitney Houston (Pop),15.487499999999999
Guns N' Roses (Rock),blink-182 (Rock),15.490699999999999
Lady Gaga (Pop),Wisin & Yandel (Pop),15.4953
Eagles (Pop),James Arthur (Pop),15.522099999999998
Annie Lennox (Pop),Meghan Trainor (Pop),15.526399999999999
50 Cent (Rap/Hip Hop),DJ Khaled (Rap/Hip Hop),15.573599999999999
Bastille (Alternative),Rex Orange County (Alternative),15.5886
James Arthur (Pop),Wisin & Yandel (Pop),15.590800000000002
Christina Aguilera (Dance),Whitney Houston (Dance),15.6101
Foreigner (Pop),Prince (Pop),15.613200000000003
Ariana Grande (Pop),Maroon 5 (Pop),15.6187
Jennifer Lopez (Pop),Justin Timberlake (Pop),15.622599999999998
Billy Joel (Pop),Black Eyed Peas (Pop),15.6476
Aerosmith (Rock),Billy Joel (Rock),15.671600000000002
Billy Joel (Rock),Bryan Adams (Rock),15.694
Elvis Presley (Rock),Pink Floyd (Rock),15.6958
Céline Dion (Pop),Luis Miguel (Pop),15.699300000000003
Britney Spears (Pop),Justin Timberlake (Pop),15.710500000000001
